Compound,A,B,Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ,In literature
TeRhO3,Te,Rh,cubic,2,4,0.97,0.77,0.6,2.1,2.28,2.393443528,2.001424352,-1.426142857,0.837921536,5.06430624,0.428571429,FALSE
HgHfO3,Hg,Hf,rhombohedral,2,4,1.14,1.11,0.71,2,1.3,2.645968153,2.027412322,-2.108714286,0.851209111,4.753545157,0.507142857,FALSE
TiCeO3,Ti,Ce,rhombohedral,2,4,0.86,0.71,0.87,1.54,1.12,2.276501981,2.268642439,-2.371785714,0.703991773,-173.4003942,0.621428571,FALSE
CuTmO3,Cu,Tm,rhombohedral,not balanced,not balanced,0.68,0.68,0.96,1.9,1.25,2.301547692,2.119700811,-2.239285714,0.623212756,-,0.685714286,FALSE
InLuO3,In,Lu,cubic,not balanced,not balanced,0.92,0.8,0.86,1.78,1.27,2.392361909,2.209114963,-2.279428571,0.725879528,-,0.614285714,FALSE
CsRbO3,Cs,Rb,cubic,not balanced,not balanced,1.88,1.67,1.52,0.79,0.82,3.300175886,2.825996661,-5.065142857,0.79428433,-,1.085714286,FALSE
Au2O3,Au,Au,cubic,element not in BV,element not in BV,0.93,0.93,0.93,2.54,2.54,2.639131071,2.31369847,-1.740428571,0.707106781,-,0.664285714,FALSE
EuNiO3,Eu,Ni,orthorhombic,3,3,1.12,1.06,0.6,1.2,1.91,2.675987786,2.103725488,-1.829142857,0.890954544,2.305473586,0.428571429,TRUE
MgSnO3,Mg,Sn,cubic,2,4,0.89,0.72,0.69,1.31,1.96,2.401380848,2.052287148,-1.843035714,0.774772502,8.164181798,0.492857143,FALSE
PbKO3,Pb,K,orthorhombic,not balanced,not balanced,1.49,0.99,1.38,2.33,0.82,2.659877134,2.723507129,-3.636714286,0.735085826,-,0.985714286,FALSE
AlYO3,Al,Y,rhombohedral,3,3,0.54,0.54,0.9,1.61,1.22,2.186788809,2.235124352,-2.122071429,0.596429198,-10.96815178,0.642857143,FALSE
AcTlO3,Ac,Tl,orthorhombic,element not in BV,element not in BV,1.12,1.12,1.2,1.1,1.62,0,2.297683747,-3.205142857,0.685349649,-,0.857142857,FALSE
PuTlO3,Pu,Tl,orthorhombic,element not in BV,element not in BV,0.96,0.83,1.2,1.28,1.62,2.478196261,2.297683747,-3.024,0.641835386,-,0.857142857,FALSE
PuLuO3,Pu,Lu,cubic,element not in BV,element not in BV,0.96,0.83,0.86,1.28,1.27,2.478196261,2.209114963,-2.464,0.738394692,-,0.614285714,FALSE
YTeO3,Y,Te,cubic,not balanced,not balanced,1.08,0.9,0.77,1.22,2.1,2.566448705,2.115491508,-2.073357143,0.808122036,-,0.55,FALSE
TbCoO3,Tb,Co,orthorhombic,3,3,1.1,0.84,0.61,1.2,1.88,2.557065458,1.930310969,-1.850285714,0.879486046,2.470415093,0.435714286,TRUE
AlPtO3,Al,Pt,cubic,element not in BV,element not in BV,0.54,0.54,0.67,1.61,2.28,2.186788809,2.64390067,-1.48475,0.662699109,-,0.478571429,FALSE
NiSbO3,Ni,Sb,cubic,1,5,0.69,0.59,0.6,1.91,2.05,2.39068842,2.075848892,-1.407535714,0.738926586,9.561610506,0.428571429,FALSE
RhTcO3,Rh,Tc,cubic,element not in BV,element not in BV,0.61,0.61,0.6,2.28,1.9,2.332748705,0,-1.321214286,0.710642315,-,0.428571429,FALSE
TaCuO3,Ta,Cu,orthorhombic,not balanced,not balanced,0.74,0.68,0.68,1.5,1.9,2.293677806,2.005573846,-1.713571429,0.727504092,-,0.485714286,FALSE
MnPdO3,Mn,Pd,cubic,2,4,0.96,0.62,0.62,1.55,2.2,2.472898888,2.04250519,-1.605357143,0.826124754,5.341038905,0.442857143,FALSE
AuCsO3,Au,Cs,cubic,element not in BV,element not in BV,0.93,0.93,1.67,2.54,0.79,2.639131071,3.009747218,-3.468678571,0.536664104,-,1.192857143,FALSE
CaMoO3,Ca,Mo,orthorhombic,2,4,1.34,1,0.65,1,2.16,2.648077507,1.7893,-1.977571429,0.945108576,3.853013344,0.464285714,TRUE
YbNiO3,Yb,Ni,orthorhombic,3,3,1.04,0.95,0.6,1.1,1.91,2.519261398,2.103725488,-1.806857143,0.862670273,2.78708232,0.428571429,TRUE
PmCrO3,Pm,Cr,orthorhombic,element not in BV,element not in BV,1.14,0.97,0.58,1.13,1.66,0,1.960053288,-1.915785714,0.907096578,-,0.414285714,FALSE
OsTiO3,Os,Ti,cubic,element not in BV,element not in BV,0.57,0.57,0.71,2.2,1.54,2.30010892,1.927848949,-1.5735,0.660189744,-,0.507142857,FALSE
CuSiO3,Cu,Si,cubic,not balanced,not balanced,0.68,0.68,0.4,1.9,1.9,2.301547692,1.783360927,-1.085428571,0.817101169,-,0.285714286,FALSE
PrIrO3,Pr,Ir,orthorhombic,3,3,1.18,0.92,0.68,1.13,2.2,2.645083225,2.009082787,-1.919,0.877084373,2.503853194,0.485714286,FALSE
LaZnO3,La,Zn,orthorhombic,not balanced,not balanced,1.36,1.03,0.74,1.1,1.65,2.689118757,2.096140752,-2.397,0.911969493,-,0.528571429,FALSE
CdSiO3,Cd,Si,tetragonal,2,4,1.31,0.95,0.4,1.69,1.9,2.568546104,1.783360927,-1.461928571,1.064588543,5.021285796,0.285714286,FALSE
PdYbO3,Pd,Yb,orthorhombic,3,3,0.76,0.75,0.87,2.2,1.1,2.37071038,2.223980699,-2.089285714,0.672841695,-26.77822056,0.621428571,FALSE
SrNbO3,Sr,Nb,orthorhombic,2,4,1.44,1.18,0.68,0.95,1.6,2.768350558,1.955055241,-2.386428571,0.96547272,3.703582344,0.485714286,TRUE
LaPmO3,La,Pm,cubic,element not in BV,element not in BV,1.36,1.03,0.97,1.1,1.13,2.689118757,0,-3.124357143,0.823466125,-,0.692857143,FALSE
BBiO3,B,Bi,cubic,1,5,0.27,0.27,0.76,2.04,2.02,1.891523329,2.215655462,-1.450642857,0.546698298,0.498821498,0.542857143,FALSE
YbBeO3,Yb,Be,orthorhombic,not balanced,not balanced,1.04,0.95,0.45,1.1,1.57,2.519261398,1.803349248,-1.6235,0.932616511,-,0.321428571,FALSE
KPdO3,K,Pd,tetragonal,not balanced,not balanced,1.64,1.38,0.75,0.82,2.2,3.025719299,2.04250519,-2.3495,0.9998161,-,0.535714286,FALSE
FeSrO3,Fe,Sr,orthorhombic,not balanced,not balanced,0.85,0.67,1.18,1.83,0.95,2.290643632,2.452968591,-2.884107143,0.616662891,-,0.842857143,FALSE
SnGdO3,Sn,Gd,cubic,3,3,0.81,0.69,0.94,1.96,1.2,2.342369243,2.28415608,-2.299714286,0.667823071,-24.87833948,0.671428571,FALSE
TbTaO3,Tb,Ta,cubic,1,5,1.1,0.84,0.64,1.2,1.5,2.557065458,1.956808277,-2.060428571,0.866552428,4.360983427,0.457142857,FALSE
NdZnO3,Nd,Zn,orthorhombic,not balanced,not balanced,1.27,0.98,0.74,1.14,1.65,2.617633987,2.096140752,-2.328892857,0.882231358,-,0.528571429,FALSE
ReSbO3,Re,Sb,cubic,not balanced,not balanced,0.57,0.57,0.68,1.9,2.05,2.33939643,2.075848892,-1.492392857,0.669711711,-,0.485714286,FALSE
TeNbO3,Te,Nb,cubic,1,5,0.97,0.77,0.64,2.1,1.6,2.393443528,1.955055241,-1.73,0.821491702,4.832337246,0.457142857,FALSE
MnAuO3,Mn,Au,cubic,element not in BV,element not in BV,0.96,0.62,0.93,1.55,2.54,2.472898888,2.31369847,-2.078892857,0.71621116,-,0.664285714,FALSE
NpSiO3,Np,Si,tetragonal,element not in BV,element not in BV,0.98,0.86,0.4,1.36,1.9,0,1.783360927,-1.327571429,0.9349523,-,0.285714286,FALSE
RhLuO3,Rh,Lu,cubic,3,3,0.67,0.61,0.86,2.28,1.27,2.332748705,2.209114963,-1.932107143,0.647659751,-16.73386157,0.614285714,FALSE
ErMoO3,Er,Mo,cubic,3,3,1.06,0.89,0.69,1.24,2.16,2.536253277,1.7893,-1.874428571,0.832288364,3.763543667,0.492857143,FALSE
PmZrO3,Pm,Zr,orthorhombic,element not in BV,element not in BV,1.14,0.97,0.72,1.13,1.33,0,2.043777903,-2.337642857,0.847193974,-,0.514285714,FALSE
TiYbO3,Ti,Yb,orthorhombic,not balanced,not balanced,0.74,0.71,0.95,1.54,1.1,2.276501981,2.223980699,-2.430214286,0.643918516,-,0.678571429,FALSE
SbMgO3,Sb,Mg,cubic,not balanced,not balanced,0.68,0.68,0.72,2.05,1.31,2.361078957,2.046489492,-1.759285714,0.693765144,-,0.514285714,FALSE
TbBO3,Tb,B,cubic,4,2,0.88,0.84,0.27,1.2,2.04,2.557065458,1.624661665,-0.987714286,0.965391294,0.219495473,0.192857143,FALSE
CdSnO3,Cd,Sn,orthorhombic,2,4,1.31,0.95,0.69,1.69,1.96,2.568546104,2.052287148,-1.971392857,0.916870515,3.951861548,0.492857143,TRUE
SiCrO3,Si,Cr,cubic,2,4,0.4,0.4,0.55,1.9,1.66,2.082800509,1.960053288,-1.2325,0.652713952,-6.022070694,0.392857143,FALSE
LiSbO3,Li,Sb,rhombohedral,1,5,0.92,0.76,0.6,0.98,2.05,2.453211831,2.075848892,-1.721,0.820243866,4.920547752,0.428571429,FALSE
PaVO3,Pa,V,cubic,element not in BV,element not in BV,0.95,0.91,0.64,1.5,1.63,0,1.758039163,-1.843821429,0.814559282,-,0.457142857,FALSE
KReO3,K,Re,cubic,1,5,1.64,1.38,0.58,0.82,1.9,3.025719299,1.98797081,-2.157285714,1.085658896,4.134134169,0.414285714,FALSE
TiSbO3,Ti,Sb,cubic,2,4,0.86,0.71,0.68,1.54,2.05,2.276501981,2.075848892,-1.723785714,0.768298714,8.829629905,0.485714286,FALSE
PmYO3,Pm,Y,cubic,element not in BV,element not in BV,1.14,0.97,0.9,1.13,1.22,0,2.235124352,-2.752071429,0.780891837,-,0.642857143,FALSE
PuVO3,Pu,V,rhombohedral,element not in BV,element not in BV,0.96,0.83,0.64,1.28,1.63,2.478196261,1.758039163,-1.900571429,0.818025492,-,0.457142857,TRUE
